"URN","LA (code)","LA (name)","EstablishmentNumber","EstablishmentName","TypeOfEstablishment (code)","TypeOfEstablishment (name)","EstablishmentTypeGroup (code)","EstablishmentTypeGroup (name)","EstablishmentStatus (code)","EstablishmentStatus (name)","ReasonEstablishmentOpened (code)","ReasonEstablishmentOpened (name)","OpenDate","ReasonEstablishmentClosed (code)","ReasonEstablishmentClosed (name)","CloseDate","PhaseOfEducation (code)","PhaseOfEducation (name)","StatutoryLowAge","StatutoryHighAge","Boarders (code)","Boarders (name)","NurseryProvision (name)","OfficialSixthForm (code)","OfficialSixthForm (name)","Gender (code)","Gender (name)","ReligiousCharacter (code)","ReligiousCharacter (name)","ReligiousEthos (name)","Diocese (code)","Diocese (name)","AdmissionsPolicy (code)","AdmissionsPolicy (name)","SchoolCapacity","SpecialClasses (code)","SpecialClasses (name)","CensusDate","NumberOfPupils","NumberOfBoys","NumberOfGirls","PercentageFSM","TrustSchoolFlag (code)","TrustSchoolFlag (name)","Trusts (code)","Trusts (name)","SchoolSponsorFlag (name)","SchoolSponsors (name)","FederationFlag (name)","Federations (code)","Federations (name)","UKPRN","FEHEIdentifier","FurtherEducationType (name)","OfstedLastInsp","OfstedSpecialMeasures (code)","OfstedSpecialMeasures (name)","LastChangedDate","Street","Locality","Address3","Town","County (name)","Postcode","SchoolWebsite","TelephoneNum","HeadTitle (name)","HeadFirstName","HeadLastName","HeadPreferredJobTitle","BSOInspectorateName (name)","InspectorateReport","DateOfLastInspectionVisit","NextInspectionVisit","TeenMoth (name)","TeenMothPlaces","CCF (name)","SENPRU (name)","EBD (name)","PlacesPRU","FTProv (name)","EdByOther (name)","Section41Approved (name)","SEN1 (name)","SEN2 (name)","SEN3 (name)","SEN4 (name)","SEN5 (name)","SEN6 (name)","SEN7 (name)","SEN8 (name)","SEN9 (name)","SEN10 (name)","SEN11 (name)","SEN12 (name)","SEN13 (name)","TypeOfResourcedProvision (name)","ResourcedProvisionOnRoll","ResourcedProvisionCapacity","SenUnitOnRoll","SenUnitCapacity","GOR (code)","GOR (name)","DistrictAdministrative (code)","DistrictAdministrative (name)","AdministrativeWard (code)","AdministrativeWard (name)","ParliamentaryConstituency (code)","ParliamentaryConstituency (name)","UrbanRural (code)","UrbanRural (name)","GSSLACode (name)","Easting","Northing","MSOA (name)","LSOA (name)","InspectorateName (name)","SENStat","SENNoStat","BoardingEstablishment (name)","PropsName","PreviousLA (code)","PreviousLA (name)","PreviousEstablishmentNumber","OfstedRating (name)","Country (name)","UPRN","SiteName","QABName (code)","QABName (name)","EstablishmentAccredited (code)","EstablishmentAccredited (name)","QABReport","CHNumber","MSOA (code)","LSOA (code)","FSM","AccreditationExpiryDate"
138130,"355","Salford","7025","Example Academy","44","Academy special converter","10","Academies","1","Open","10","Academy Converter","01-01-2000","99","","","0","Not applicable",9,19,"1","No boarders","No Nursery Classes","1","Has a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","9","",284,"1","Has Special Classes","18-01-2024","315","221","94","51.80","3","Supported by a multi-academy trust","5711","EXAMPLE ACADEMY TRUST","Linked to a sponsor","Example Academy Trust","Not applicable","","",10037232,"","Not applicable","24-01-2024","0","Not applicable","18-07-2024","Example Road","Ellesmere Park","","Eccles","Lancashire","M30 9DY","www.example.co.uk","01234567890","Mrs","Example","Example","Executive Principal","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","SpLD - Specific Learning Difficulty","VI - Visual Impairment","SLCN - Speech, language and Communication","ASD - Autistic Spectrum Disorder","SEMH - Social, Emotional and Mental Health","PD - Physical Disability","MLD - Moderate Learning Difficulty","","","","","","","","","","","","B","North West","E08000006","Salford","E05013024","Eccles","E14001598","Worsley and Eccles","A1","(England/Wales) Urban major conurbation","E08000006",377777,399838,"Salford 020","Salford 020C","","","","","","999","","","Outstanding","","10091474414","","0","Not applicable","0","Not applicable","","","E02001176","E01005633","130",""
140134,"207","Kensington and Chelsea","4320","Example School","34","Academy converter","10","Academies","2","Closed","10","Academy Converter","01-01-2000","04","Fresh Start","31-12-2022","4","Secondary",11,18,"1","No boarders","No Nursery Classes","1","Has a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","4","Non-selective",1430,"2","No Special Classes","20-01-2022","1391","732","659","24.0","2","Not supported by a trust","","","-","","Not applicable","","",10043056,"","Not applicable","21-04-2022","0","Not applicable","31-12-2022","Example Gardens","Example Road","","London","","W8 7AF","","","","Example","Example","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","H","London","E09000020","Kensington and Chelsea","E05009390","Campden","E14000768","Kensington","A1","(England/Wales) Urban major conurbation","E09000020",524948,179954,"Kensington and Chelsea 008","Kensington and Chelsea 008B","","","","","","999","","","Serious Weaknesses","","217126493","","0","Not applicable","0","Not applicable","","","E02000584","E01002825","283",""
