"URN","LA (code)","LA (name)","EstablishmentNumber","EstablishmentName","TypeOfEstablishment (code)","TypeOfEstablishment (name)","EstablishmentTypeGroup (code)","EstablishmentTypeGroup (name)","EstablishmentStatus (code)","EstablishmentStatus (name)","ReasonEstablishmentOpened (code)","ReasonEstablishmentOpened (name)","OpenDate","ReasonEstablishmentClosed (code)","ReasonEstablishmentClosed (name)","CloseDate","PhaseOfEducation (code)","PhaseOfEducation (name)","StatutoryLowAge","StatutoryHighAge","Boarders (code)","Boarders (name)","NurseryProvision (name)","OfficialSixthForm (code)","OfficialSixthForm (name)","Gender (code)","Gender (name)","ReligiousCharacter (code)","ReligiousCharacter (name)","ReligiousEthos (name)","Diocese (code)","Diocese (name)","AdmissionsPolicy (code)","AdmissionsPolicy (name)","SchoolCapacity","SpecialClasses (code)","SpecialClasses (name)","CensusDate","NumberOfPupils","NumberOfBoys","NumberOfGirls","PercentageFSM","TrustSchoolFlag (code)","TrustSchoolFlag (name)","Trusts (code)","Trusts (name)","SchoolSponsorFlag (name)","SchoolSponsors (name)","FederationFlag (name)","Federations (code)","Federations (name)","UKPRN","FEHEIdentifier","FurtherEducationType (name)","OfstedLastInsp","OfstedSpecialMeasures (code)","OfstedSpecialMeasures (name)","LastChangedDate","Street","Locality","Address3","Town","County (name)","Postcode","SchoolWebsite","TelephoneNum","HeadTitle (name)","HeadFirstName","HeadLastName","HeadPreferredJobTitle","InspectorateName (name)","InspectorateReport","DateOfLastInspectionVisit","NextInspectionVisit","TeenMoth (name)","TeenMothPlaces","CCF (name)","SENPRU (name)","EBD (name)","PlacesPRU","FTProv (name)","EdByOther (name)","Section41Approved (name)","SEN1 (name)","SEN2 (name)","SEN3 (name)","SEN4 (name)","SEN5 (name)","SEN6 (name)","SEN7 (name)","SEN8 (name)","SEN9 (name)","SEN10 (name)","SEN11 (name)","SEN12 (name)","SEN13 (name)","TypeOfResourcedProvision (name)","ResourcedProvisionOnRoll","ResourcedProvisionCapacity","SenUnitOnRoll","SenUnitCapacity","GOR (code)","GOR (name)","DistrictAdministrative (code)","DistrictAdministrative (name)","AdministrativeWard (code)","AdministrativeWard (name)","ParliamentaryConstituency (code)","ParliamentaryConstituency (name)","UrbanRural (code)","UrbanRural (name)","GSSLACode (name)","Easting","Northing","CensusAreaStatisticWard (name)","MSOA (name)","LSOA (name)","Inspectorate (name)","SENStat","SENNoStat","BoardingEstablishment (name)","PropsName","PreviousLA (code)","PreviousLA (name)","PreviousEstablishmentNumber","OfstedRating (name)","RSCRegion (name)","Country (name)","UPRN","SiteName","MSOA (code)","LSOA (code)"
100492,"207","Kensington and Chelsea","3402","St Thomas' CofE Primary School","02","Voluntary aided school","4","LA maintained schools","1","Open","00","Not applicable","","00","Not applicable","","2","Primary",3,11,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","02","Church of England","Does not apply","CE23","Diocese of London","0","Not applicable",236,"2","No Special Classes","18-01-2018","237","119","118","30","0","Not applicable","","","Not applicable","","Not under a federation","","",10079297,"","Not applicable","05-11-2014","0","Not applicable","19-09-2018","Appleford Road","North Kensington","","London","","W10 5EF","http://www.st.rbkc.sch.uk","02089692810","Ms","Sarah","Bouette","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","H","London","E09000020","Kensington and Chelsea","E05009396","Golborne","E14000768","Kensington","A1","Urban major conurbation","E09000020",524351,182075,"","Kensington and Chelsea 001","Kensington and Chelsea 001E","","","","","","999","","","Outstanding","North-West London and South-Central England","","217120632","","E02000577","E01002857"
100459,"206","Islington","4651","St Aloysius RC College","02","Voluntary aided school","4","LA maintained schools","1","Open","00","Not applicable","","00","Not applicable","","4","Secondary",11,19,"1","No boarders","No Nursery Classes","1","Has a sixth form","1","Boys","03","Roman Catholic","Does not apply","RC01","Archdiocese of Westminster","4","Non-selective",1150,"2","No Special Classes","18-01-2018","1104","1052","52","28.5","0","Not applicable","","","Not applicable","","Not under a federation","","",10015262,"","Not applicable","07-11-2018","0","Not applicable","13-12-2018","Hornsey Lane","Highgate","","London","","N6 5LY","www.sta.islington.sch.uk","02075617800","Ms","Jane","Heffernan","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","H","London","E09000019","Islington","E05000376","Junction","E14000763","Islington North","A1","Urban major conurbation","E09000019",529090,187296,"","Islington 004","Islington 004B","","","","","","999","","","Requires improvement","North-West London and South-Central England","","10091006179","","E02000557","E01002770"
100494,"207","Kensington and Chelsea","3437","Saint Francis of Assisi Catholic Primary School","02","Voluntary aided school","4","LA maintained schools","1","Open","00","Not applicable","","00","Not applicable","","2","Primary",3,11,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","03","Roman Catholic","Does not apply","RC01","Archdiocese of Westminster","0","Not applicable",315,"2","No Special Classes","18-01-2018","225","113","112","24.4","0","Not applicable","","","Not applicable","","Not under a federation","","",10075988,"","Not applicable","10-01-2018","0","Not applicable","19-09-2018","Treadgold Street","Notting Hill","","London","","W11 4BJ","http://www.stfrancisofassisi.org.uk","02077278523","Mrs","Kathleen","Williams","Executive Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","H","London","E09000020","Kensington and Chelsea","E05009399","Notting Dale","E14000768","Kensington","A1","Urban major conurbation","E09000020",523827,180762,"","Kensington and Chelsea 005","Kensington and Chelsea 005A","","","","","","999","","","Good","North-West London and South-Central England","","217087230","","E02000581","E01002870"
